feature,importance
households,0.01091939469437404
total_bedrooms,0.012120918108998433
population,0.013040551922585304
total_rooms,0.013283265996624528
rooms_per_household,0.025294985140892953
bedroom_ratio,0.025546870201354818
housing_median_age,0.04872104785854722
latitude,0.06631505490153489
longitude,0.06683171888457645
ocean_proximity,0.0741296916747426
population_per_household,0.13221469436096733
median_income,0.5115818062548014
