,MAE,RMSE,R2,CV_Mean,CV_Std
Random Forest,33257.28876437485,51479.29865639619,0.8062096412752318,0.8065291194596972,0.01505160374458133
Gradient Boosting,37851.92289865249,54736.40722442673,0.7809115416671606,0.7877778250369094,0.013657580653235512
Ridge Regression,50503.415630440664,69745.23988278354,0.6442900051990802,0.6427015831838293,0.023145236891666737
Lasso Regression,50503.472354669546,69745.37256868891,0.6442886517662816,0.6426931783054399,0.023164292938915813
Linear Regression,50503.486315840535,69745.45056910525,0.6442878561393388,0.6426872422108737,0.02317509194427243
