feature,coefficient
ca,1.139921515082091
sex,0.6371440431658014
thal,0.5330581841300172
thalach,-0.4730505501795275
trestbps,0.46811063898277777
fbs,-0.44080370788878065
exang,0.4317437876043021
cp,0.36280861606860726
oldpeak,0.33567447353263097
chol,0.32249394680149784
slope,0.24085481408688805
restecg,0.20486552068069902
age,-0.06665701884413826
